Date,Open,High,Low,Close,Adj Close,Volume
21/09/2000,603.51001,613.01001,577.780029,595.98999,595.98999,35039200
22/09/2000,574.26001,578.219971,551,553.25,553.25,30509200
25/09/2000,562.789978,584.840027,562.47998,584.630005,584.630005,32832600
26/09/2000,576.950012,593.719971,574.320007,587.599976,587.599976,40377200
27/09/2000,586.570007,601.02002,585.169983,599.309998,599.309998,36712300
28/09/2000,606.599976,610.530029,595.969971,605.849976,605.849976,33022500
29/09/2000,612.109985,620.080017,599.880005,613.219971,613.219971,32815500
02/10/2000,595.679993,599.030029,585.530029,589.219971,589.219971,24306700
04/10/2000,578.380005,598.419983,571.580017,598.419983,598.419983,31158800
05/10/2000,605.809998,616.219971,604.25,606.789978,606.789978,45697200
06/10/2000,601.570007,610.52002,601.049988,608.849976,608.849976,36962300
09/10/2000,606.809998,606.900024,589.179993,589.179993,589.179993,34312800
10/10/2000,588.719971,595.789978,578.200012,588.340027,588.340027,28352900
11/10/2000,576.440002,576.440002,548.289978,557.179993,557.179993,31153200
12/10/2000,548.440002,564.090027,534.710022,534.710022,534.710022,25966800
13/10/2000,514.820007,525.710022,498.559998,524.599976,524.599976,33030900
16/10/2000,557.109985,565.880005,543.200012,550.099976,550.099976,34116600
17/10/2000,536.200012,545.080017,512.849976,512.849976,512.849976,31367400
18/10/2000,501.089996,519.539978,485,514.169983,514.169983,39859800
19/10/2000,510.190002,531.200012,506.48999,515.039978,515.039978,31261300
20/10/2000,540.679993,554.650024,540.48999,545.969971,545.969971,37164900
23/10/2000,555.109985,556,527.179993,528.369995,528.369995,27114400
24/10/2000,527.359985,549.789978,523.02002,545.049988,545.049988,31159400
25/10/2000,539.929993,545.859985,532.98999,542.330017,542.330017,30813200
26/10/2000,528.27002,530.809998,517.820007,523.669983,523.669983,21283800
27/10/2000,528.590027,534.840027,515.340027,515.340027,515.340027,28425700
30/10/2000,514.820007,520.01001,504.730011,504.730011,504.730011,28572800
31/10/2000,497.589996,514.47998,483.579987,514.47998,514.47998,35063900
01/11/2000,524.690002,550.059998,522.780029,548.76001,548.76001,36644300
02/11/2000,543.940002,563.97998,540.929993,558.099976,558.099976,46105900
03/11/2000,563.5,567.070007,556.380005,560.409973,560.409973,40651800
06/11/2000,557.640015,581.469971,555.409973,556.659973,556.659973,42381000
07/11/2000,560.549988,564.380005,550.390015,553.349976,553.349976,34658800
08/11/2000,549.210022,562.890015,545.77002,558.090027,558.090027,35423100
09/11/2000,549.440002,562.659973,548.140015,560.659973,560.659973,32391200
10/11/2000,557.940002,567.340027,555.109985,565.179993,565.179993,32218100
13/11/2000,552.440002,552.440002,536.450012,538.940002,538.940002,27283600
14/11/2000,543.530029,552.98999,543.530029,552.98999,552.98999,25304700
15/11/2000,566.409973,570.359985,552.890015,557.47998,557.47998,32530600
16/11/2000,557.849976,561.169983,550.460022,555.039978,555.039978,31069200
17/11/2000,548.429993,551.26001,543.599976,551.26001,551.26001,33172000
20/11/2000,543.780029,547.559998,537.23999,537.400024,537.400024,28975300
